user_id,subscription_tier,days_since_last_login,avg_session_length_mins,support_tickets_opened,churned
1110,Basic,6,33.8,3,0
1111,Basic,8,28.5,3,1
1112,Basic,16,37.8,2,0
1113,Enterprise,5,16.2,0,0
1114,Pro,10,22.5,2,1
1115,Pro,8,21.4,1,1
1116,Pro,16,34.3,1,0
1117,Pro,9,31.5,2,1
1118,Basic,6,27.1,2,0
1119,Pro,5,27.2,2,1
1120,Basic,10,13.5,0,0
1121,Pro,7,32.7,0,0
1122,Pro,9,32.9,0,0
1123,Basic,10,47.9,2,0
1124,Basic,4,29.7,0,0
1125,Basic,8,31.3,2,0
1126,Basic,10,29.8,2,0
1127,Pro,7,18.0,2,0
1128,Pro,14,37.5,1,1
1129,Basic,13,24.4,0,0
1130,Basic,11,23.1,1,0
1131,Basic,10,23.7,0,0
1132,Basic,8,24.3,0,0
1133,Basic,7,20.1,0,0
1134,Basic,15,27.2,1,0
1135,Enterprise,7,24.0,1,0
1136,Basic,10,23.2,1,1
1137,Basic,14,29.9,1,1
1138,Pro,15,25.8,2,1
1139,Basic,16,19.5,1,0
1140,Enterprise,15,17.4,3,0
1141,Enterprise,12,26.0,3,0
1142,Basic,9,17.5,1,0
1143,Basic,9,16.8,1,0
1144,Basic,7,17.0,1,0
1145,Basic,10,27.5,0,0
1146,Basic,15,36.9,2,0
1147,Pro,4,28.5,1,0
1148,Basic,7,33.9,0,0
1149,Basic,9,24.3,1,0
1150,Basic,11,26.4,0,0
1151,Enterprise,8,41.5,1,0
1152,Basic,13,33.3,1,0
1153,Basic,5,34.4,2,0
1154,Basic,6,22.4,1,0
1155,Enterprise,6,24.9,2,1
1156,Basic,7,29.1,0,0
1157,Pro,6,18.9,2,0
1158,Pro,14,1.4,0,0
1159,Basic,5,29.0,2,0
1160,Pro,11,34.6,1,0
1161,Basic,9,25.6,1,1
1162,Pro,7,19.0,1,0
1163,Pro,8,21.7,3,0
1164,Basic,12,4.7,0,0
1165,Basic,23,21.7,2,0
1166,Pro,11,13.8,2,1
1167,Basic,10,18.0,1,1
1168,Basic,9,13.3,1,0
1169,Basic,9,12.2,2,0
1170,Basic,9,15.0,2,1
1171,Pro,15,31.3,1,0
1172,Basic,9,19.9,0,0
1173,Basic,12,13.9,1,1
1174,Basic,5,32.5,0,0
1175,Pro,6,26.3,2,0
1176,Basic,8,1.4,3,0
1177,Pro,17,35.0,2,1
1178,Basic,12,25.7,1,0
1179,Enterprise,8,32.7,0,0
1180,Basic,15,22.7,1,1
1181,Basic,8,41.0,1,1
1182,Basic,13,21.2,2,0
1183,Enterprise,10,1.0,3,0
1184,Pro,8,16.1,1,0
1185,Basic,13,30.0,1,0
1186,Pro,6,26.6,1,0
1187,Pro,10,23.8,0,0
1188,Basic,11,15.1,1,0
1189,Basic,6,25.2,1,0
1190,Basic,15,24.9,1,0
1191,Basic,12,24.8,2,0
1192,Pro,12,30.4,1,0
1193,Enterprise,16,26.8,1,0
1194,Pro,14,22.5,2,0
1195,Basic,12,15.0,0,0
1196,Basic,9,38.6,1,0
1197,Pro,11,44.8,2,0
1198,Pro,12,42.4,1,0
1199,Pro,7,32.0,2,0
1200,Pro,14,8.2,0,0
1201,Pro,7,7.0,1,0
1202,Basic,10,19.5,0,0
1203,Basic,11,24.5,1,0
1204,Pro,13,24.0,1,0
1205,Pro,7,26.9,0,0
1206,Basic,11,11.1,0,0
1207,Basic,6,41.1,0,1
1208,Pro,8,40.1,1,0
1209,Basic,10,11.9,0,0
1210,Basic,11,6.4,1,0
1211,Basic,6,24.1,3,0
1212,Pro,11,37.6,0,1
1213,Pro,12,24.7,1,0
1214,Basic,11,27.6,3,0
1215,Pro,12,20.6,1,0
1216,Basic,12,26.5,1,0
1217,Basic,13,34.4,1,0
1218,Pro,6,29.1,1,0
1219,Pro,8,30.8,2,0
1220,Pro,7,8.4,1,0
1221,Pro,8,46.4,2,0
1222,Basic,11,8.5,1,0
1223,Basic,19,26.6,3,1
1224,Basic,13,23.5,2,1
1225,Basic,4,23.9,1,0
1226,Basic,8,33.7,2,0
1227,Enterprise,9,17.9,2,0
1228,Basic,16,20.7,0,0
1229,Pro,15,13.5,1,0
1230,Pro,8,36.2,0,0
1231,Pro,9,27.7,1,0
1232,Basic,10,31.4,0,0
1233,Basic,10,33.1,1,0
1234,Basic,16,44.9,3,0
1235,Basic,14,43.2,3,0
1236,Pro,13,28.2,3,1
1237,Basic,9,26.6,1,0
1238,Basic,11,19.7,0,0
1239,Pro,11,32.4,1,0
1240,Basic,14,32.1,1,0
1241,Enterprise,7,17.7,1,0
1242,Enterprise,14,32.2,2,0
1243,Enterprise,10,35.1,0,0
1244,Basic,8,13.8,0,0
1245,Basic,10,26.9,2,0
1246,Enterprise,8,24.3,0,0
1247,Basic,8,24.9,3,0
1248,Enterprise,18,15.5,0,0
1249,Enterprise,13,6.7,0,0
1250,Pro,11,17.4,0,0
1251,Basic,9,16.0,0,1
1252,Basic,14,28.5,0,0
1253,Pro,11,28.7,0,0
1254,Basic,8,28.1,2,0
1255,Basic,5,11.0,2,0
1256,Basic,13,13.8,1,0
1257,Enterprise,4,18.8,1,0
1258,Pro,13,25.2,1,0
1259,Basic,12,21.6,0,0
1260,Basic,5,28.1,1,1
1261,Pro,5,34.8,5,0
1262,Enterprise,7,15.0,3,0
1263,Basic,7,15.4,3,0
1264,Basic,10,26.4,0,0
1265,Pro,5,24.2,1,0
1266,Pro,16,32.4,2,0
1267,Pro,10,25.1,1,0
1268,Pro,13,42.4,2,1
1269,Basic,9,9.1,1,0
1270,Basic,11,33.4,2,1
1271,Pro,6,27.0,1,0
1272,Pro,7,11.0,2,0
1273,Pro,12,4.3,1,1
1274,Enterprise,6,13.7,1,0
1275,Basic,8,37.1,3,0
1276,Basic,9,36.0,1,0
1277,Pro,12,23.7,2,1
1278,Pro,11,21.4,3,0
1279,Pro,7,16.4,1,0
1280,Pro,14,23.1,0,0
1281,Pro,8,20.3,3,1
1282,Basic,10,42.1,2,0
1283,Basic,7,12.6,1,0
1284,Basic,12,28.9,2,0
1285,Basic,9,42.6,0,0
1286,Basic,11,32.7,0,1
1287,Basic,6,13.8,0,0
1288,Basic,10,9.6,2,1
1289,Basic,11,27.7,0,0
1290,Basic,6,26.5,2,0
1291,Basic,6,37.3,1,1
1292,Basic,9,30.5,0,0
1293,Pro,13,20.2,0,0
1294,Basic,12,19.5,2,1
1295,Basic,11,11.9,2,0
1296,Basic,11,26.3,1,0
1297,Pro,9,11.0,0,1
1298,Basic,5,34.1,4,0
1299,Pro,9,30.9,0,0
1300,Basic,10,30.6,2,0
1301,Basic,15,11.8,3,0
1302,Basic,12,23.5,2,1
1303,Basic,10,21.1,1,0
1304,Pro,7,26.0,1,0
1305,Pro,6,30.3,1,0
1306,Enterprise,11,19.9,1,0
1307,Basic,9,20.2,0,0
1308,Basic,11,31.8,2,1
1309,Pro,11,13.7,0,0
1310,Basic,9,17.5,3,0
1311,Basic,7,25.1,1,0
1312,Basic,8,34.0,0,0
1313,Basic,8,15.3,3,0
1314,Enterprise,7,42.9,1,0
1315,Pro,10,11.5,1,0
1316,Pro,14,40.5,0,0
1317,Basic,15,37.0,1,1
1318,Basic,9,10.7,0,0
1319,Basic,11,8.7,1,0
1320,Basic,11,32.2,1,0
1321,Basic,9,21.2,2,0
1322,Pro,9,14.9,3,1
1323,Pro,14,43.1,1,1
1324,Basic,10,13.1,1,0
1325,Enterprise,8,17.7,0,0
1326,Pro,16,18.9,0,1
1327,Basic,15,1.0,2,0
1328,Pro,11,25.9,0,0
1329,Basic,8,15.9,1,0
1330,Basic,8,33.1,0,0
1331,Basic,8,34.4,0,0
1332,Pro,10,27.3,2,0
1333,Basic,9,27.4,2,0
1334,Basic,6,26.6,2,1
1335,Basic,11,18.0,0,0
1336,Basic,10,18.9,2,0
1337,Pro,6,38.2,2,0
1338,Pro,7,32.4,5,1
1339,Basic,7,27.1,1,0
1340,Basic,12,31.0,2,0
1341,Basic,5,24.4,1,0
1342,Basic,8,26.8,1,0
1343,Basic,12,30.9,3,0
1344,Basic,15,4.3,2,0
1345,Basic,12,34.1,0,0
1346,Pro,7,33.3,0,0
1347,Pro,8,17.2,3,0
1348,Basic,9,37.4,1,1
1349,Basic,10,2.8,1,1
1350,Pro,11,28.5,0,0
1351,Basic,8,25.4,1,0
1352,Pro,7,21.9,1,0
1353,Pro,16,25.2,1,0
1354,Basic,2,30.8,0,0
1355,Basic,7,6.9,1,0
1356,Pro,9,35.0,2,1
1357,Basic,8,20.9,0,0
1358,Basic,12,35.2,3,0
1359,Enterprise,13,31.4,1,0
1360,Basic,9,20.7,2,0
1361,Basic,15,24.2,0,0
1362,Pro,9,24.8,0,0
1363,Basic,14,41.1,0,0
1364,Basic,5,13.6,2,0
1365,Enterprise,7,20.6,2,0
1366,Basic,5,9.2,1,0
1367,Enterprise,7,26.2,2,0
1368,Enterprise,14,18.8,0,0
1369,Basic,4,20.0,0,1
1370,Basic,13,39.8,0,0
1371,Basic,4,16.8,2,1
1372,Basic,12,23.4,2,0
1373,Basic,10,20.4,1,0
1374,Pro,11,21.0,1,0
1375,Basic,9,52.7,0,0
1376,Basic,7,7.7,1,0
1377,Pro,10,31.4,3,1
1378,Basic,8,49.3,3,0
1379,Pro,8,35.8,2,0
1380,Basic,6,25.5,0,0
1381,Basic,11,13.3,0,0
1382,Pro,12,38.0,0,0
1383,Pro,6,34.4,1,0
1384,Pro,11,9.7,0,0
1385,Pro,8,21.8,1,0
1386,Pro,9,12.9,1,1
1387,Basic,12,1.0,3,0
1388,Basic,7,12.7,1,1
1389,Pro,12,26.1,0,0
1390,Pro,9,30.8,0,0
1391,Enterprise,12,21.8,1,0
1392,Basic,17,38.7,1,0
1393,Basic,13,35.3,2,0
1394,Pro,10,23.7,1,0
1395,Basic,6,22.5,2,0
1396,Enterprise,7,28.8,0,0
1397,Pro,11,24.8,2,0
1398,Basic,11,10.7,0,0
1399,Pro,8,22.0,2,1
1400,Pro,15,31.7,1,0
1401,Basic,11,38.1,1,0
1402,Enterprise,11,34.6,2,0
1403,Basic,12,28.3,3,1
1404,Pro,10,39.6,2,1
1405,Basic,13,29.2,0,1
1406,Pro,5,24.1,1,1
1407,Basic,4,39.8,2,1
1408,Basic,7,32.2,2,1
1409,Enterprise,8,38.0,0,0
1410,Basic,8,13.1,1,1
1411,Basic,9,16.4,1,1
1412,Enterprise,6,16.8,1,0
1413,Enterprise,10,26.8,0,0
1414,Basic,13,43.2,2,0
1415,Pro,7,13.6,1,0
1416,Basic,13,34.1,0,0
1417,Basic,11,13.0,2,0
1418,Basic,15,46.2,1,1
1419,Pro,18,9.0,1,0
1420,Pro,11,32.4,1,1
1421,Pro,4,33.8,3,0
1422,Pro,15,31.2,1,1
1423,Basic,10,16.2,1,0
1424,Basic,10,14.4,2,1
1425,Basic,4,37.7,1,0
1426,Basic,12,35.5,0,0
1427,Basic,8,35.3,0,0
1428,Pro,11,36.6,1,0
1429,Basic,9,9.6,0,1
1430,Basic,7,9.3,2,0
1431,Basic,17,18.3,1,1
1432,Pro,8,20.2,2,0
1433,Pro,13,19.1,0,0
1434,Basic,7,27.8,2,0
1435,Basic,7,36.2,1,0
1436,Pro,9,22.1,1,1
1437,Basic,7,16.8,3,1
1438,Pro,10,33.1,4,0
1439,Pro,14,22.2,3,1
1440,Basic,4,26.1,2,0
1441,Basic,13,21.7,1,0
1442,Enterprise,11,28.4,0,0
1443,Basic,16,14.9,2,1
1444,Basic,8,32.3,0,1
1445,Pro,9,24.7,1,0
1446,Enterprise,11,17.4,0,0
1447,Enterprise,7,30.3,0,0
1448,Pro,10,17.3,3,0
1449,Basic,10,17.8,0,0
1450,Basic,13,13.0,1,0
1451,Pro,12,8.0,1,0
1452,Basic,9,30.3,2,0
1453,Basic,9,36.7,1,0
1454,Enterprise,7,20.5,1,0
1455,Basic,10,17.0,2,0
1456,Basic,7,6.9,2,1
1457,Basic,15,3.3,1,0
1458,Basic,5,32.3,4,0
1459,Basic,10,5.3,1,0
1460,Basic,9,13.6,1,1
1461,Basic,11,27.8,0,1
1462,Pro,19,25.9,3,0
1463,Pro,15,28.2,0,0
1464,Basic,7,25.1,0,0
1465,Enterprise,11,21.4,1,0
1466,Basic,12,13.6,1,0
1467,Basic,9,18.7,1,0
1468,Pro,9,22.1,1,0
1469,Basic,8,6.1,1,0
1470,Enterprise,6,17.1,2,0
1471,Basic,11,21.3,2,0
1472,Enterprise,7,18.1,1,0
1473,Basic,14,21.6,2,0
1474,Pro,15,31.7,3,0
1475,Basic,9,32.9,2,0
1476,Enterprise,8,40.1,2,0
1477,Basic,15,9.9,3,1
1478,Basic,9,20.8,1,0
1479,Enterprise,10,37.3,1,0
1480,Basic,9,7.5,2,1
1481,Pro,5,13.2,0,0
1482,Pro,8,18.8,0,0
1483,Basic,12,45.4,1,0
1484,Pro,4,15.3,0,0
1485,Basic,11,35.8,1,0
1486,Enterprise,5,24.7,0,0
1487,Basic,8,13.5,1,1
1488,Basic,8,53.0,1,0
1489,Enterprise,14,26.9,2,0
1490,Pro,11,28.8,0,0
1491,Basic,9,30.3,0,0
1492,Pro,11,29.6,2,0
1493,Basic,5,46.5,1,0
1494,Basic,15,42.9,2,1
1495,Basic,10,15.7,1,0
1496,Basic,13,45.2,1,0
1497,Basic,4,18.0,1,0
1498,Basic,12,28.2,2,1
1499,Enterprise,18,10.5,1,0
1500,Enterprise,11,35.4,0,0
1501,Pro,6,21.9,0,0
1502,Basic,10,13.5,1,0
1503,Basic,7,36.9,0,0
1504,Pro,9,39.4,4,1
1505,Pro,5,39.7,0,0
1506,Basic,8,9.8,3,1
1507,Enterprise,7,40.7,1,0
1508,Pro,11,22.0,0,0
1509,Enterprise,14,45.5,0,0
1510,Pro,9,31.2,4,1
1511,Pro,10,27.5,0,0
1512,Basic,14,25.1,0,0
1513,Enterprise,7,24.9,1,0
1514,Pro,11,18.2,1,0
1515,Basic,9,14.3,0,0
1516,Basic,10,21.4,0,0
1517,Basic,8,36.9,2,0
1518,Pro,8,11.0,2,1
1519,Enterprise,10,38.4,0,0
1520,Basic,12,26.4,2,1
1521,Basic,7,32.8,1,1
1522,Basic,10,33.3,3,0
1523,Enterprise,7,34.3,0,0
1524,Pro,8,25.2,0,0
1525,Pro,18,25.5,0,1
1526,Basic,20,33.9,0,0
1527,Basic,7,14.6,2,0
1528,Basic,10,13.1,1,0
1529,Basic,7,20.4,0,0
1530,Pro,5,27.9,0,1
1531,Pro,7,44.2,1,0
1532,Enterprise,15,25.5,1,0
1533,Enterprise,11,45.0,1,0
1534,Basic,4,30.2,0,0
1535,Pro,9,20.5,0,0
1536,Enterprise,8,36.5,1,0
1537,Pro,13,22.6,2,0
1538,Basic,13,27.5,1,0
1539,Basic,8,11.6,0,1
1540,Basic,7,9.9,1,0
1541,Enterprise,7,30.5,0,0
1542,Pro,11,36.0,0,1
1543,Basic,7,44.5,1,1
1544,Pro,10,16.9,2,1
1545,Pro,6,39.6,0,0
1546,Basic,4,38.1,0,0
1547,Basic,7,20.1,4,0
1548,Pro,9,38.9,0,0
1549,Basic,8,34.4,0,0
1550,Pro,8,36.4,1,0
1551,Basic,9,46.7,0,0
1552,Pro,7,36.0,1,1
1553,Basic,8,3.6,2,1
1554,Basic,10,28.2,1,0
1555,Pro,12,9.3,1,0
1556,Basic,9,26.5,0,1
1557,Basic,10,25.9,1,0
1558,Basic,9,19.2,1,1
1559,Pro,12,14.7,2,1
1560,Pro,13,19.7,1,0
1561,Pro,9,21.6,0,0
1562,Basic,11,23.7,2,0
1563,Basic,9,26.1,1,0
1564,Basic,11,30.9,1,0
1565,Basic,12,21.9,2,1
1566,Basic,6,37.8,2,1
1567,Basic,7,24.6,0,0
1568,Basic,10,34.2,2,1
1569,Enterprise,13,22.0,4,0
1570,Basic,17,52.4,3,1
1571,Basic,8,29.7,0,0
1572,Pro,13,41.4,2,0
1573,Basic,13,18.1,1,0
1574,Pro,13,20.5,1,0
1575,Pro,4,22.5,1,0
1576,Enterprise,3,49.7,3,0
1577,Basic,11,22.9,0,0
1578,Enterprise,9,16.8,1,1
1579,Basic,13,38.0,4,0
1580,Basic,8,25.6,1,0
1581,Basic,8,22.8,2,0
1582,Enterprise,6,18.9,2,1
1583,Basic,20,29.9,0,0
1584,Basic,7,35.6,2,0
1585,Pro,12,32.9,3,1
1586,Basic,8,20.2,0,0
1587,Basic,9,15.1,2,0
1588,Basic,8,1.0,2,0
1589,Basic,9,15.5,2,0
1590,Basic,11,21.3,2,0
1591,Basic,12,24.4,0,1
1592,Pro,11,22.3,1,1
1593,Basic,12,53.0,2,0
1594,Basic,14,29.9,1,0
1595,Pro,14,12.6,1,0
1596,Basic,6,31.6,1,0
1597,Pro,9,28.9,1,0
1598,Basic,9,14.5,2,0
1599,Basic,8,27.9,0,0
1600,Basic,9,30.3,3,0
1601,Basic,11,35.2,0,0
1602,Basic,16,7.2,2,1
1603,Basic,4,31.5,1,0
1604,Basic,6,39.1,0,0
1605,Basic,10,43.9,2,0
1606,Basic,14,12.7,0,0
1607,Basic,8,23.5,0,0
1608,Basic,6,24.5,2,0
1609,Basic,10,31.8,0,0
1610,Pro,12,23.4,1,0
1611,Basic,15,17.8,0,1
1612,Pro,8,27.2,1,0
1613,Pro,7,21.6,0,0
1614,Basic,13,30.6,3,1
1615,Pro,8,16.9,0,0
1616,Enterprise,13,14.8,0,0
1617,Basic,8,38.2,3,1
1618,Basic,9,47.7,1,0
1619,Pro,8,43.2,3,0
1620,Pro,20,24.3,2,0
1621,Basic,2,35.6,0,0
1622,Basic,13,18.1,1,0
1623,Basic,13,30.1,1,0
1624,Basic,8,19.2,1,0
1625,Pro,10,37.6,0,0
1626,Basic,7,36.2,2,0
1627,Basic,10,45.8,2,0
1628,Pro,7,22.7,0,0
1629,Basic,10,40.8,0,0
1630,Basic,10,30.1,5,0
1631,Pro,11,25.8,0,0
1632,Pro,13,28.4,0,0
1633,Basic,14,42.0,1,0
1634,Basic,8,23.7,2,0
1635,Basic,11,24.2,1,0
1636,Basic,9,4.3,2,0
1637,Basic,11,23.5,1,0
1638,Basic,8,27.6,1,0
1639,Basic,9,17.4,2,0
1640,Basic,18,14.9,1,0
1641,Basic,15,6.5,1,1
1642,Basic,9,19.2,1,0
1643,Basic,11,39.2,1,1
1644,Basic,10,10.2,1,0
1645,Basic,9,32.9,2,0
1646,Pro,9,33.8,0,0
1647,Basic,4,49.5,1,1
1648,Pro,13,35.4,4,0
1649,Pro,7,34.5,0,0
1650,Basic,13,28.7,0,0
1651,Basic,7,25.0,1,0
1652,Basic,9,33.5,2,0
1653,Basic,11,37.5,4,0
1654,Pro,5,26.7,2,1
1655,Basic,6,37.9,0,0
1656,Basic,9,53.8,0,0
1657,Basic,11,25.7,1,0
1658,Basic,4,26.0,0,0
1659,Pro,18,24.1,1,0
1660,Basic,10,26.3,3,0
1661,Basic,9,37.2,0,0
1662,Enterprise,10,25.9,3,0
1663,Pro,8,26.9,1,1
1664,Basic,8,22.5,0,0
1665,Basic,4,29.9,1,0
1666,Basic,17,20.0,0,0
1667,Basic,4,12.7,1,0
1668,Basic,12,29.5,2,0
1669,Basic,12,44.8,1,0
1670,Basic,12,22.1,1,0
1671,Basic,5,14.6,4,1
1672,Pro,4,44.2,4,0
1673,Basic,4,25.5,1,0
1674,Basic,7,34.4,1,1
1675,Basic,6,17.7,1,0
1676,Enterprise,5,25.1,0,0
1677,Basic,13,39.0,2,1
1678,Basic,12,26.3,2,0
1679,Enterprise,10,26.4,0,0
1680,Pro,9,10.1,1,0
1681,Pro,13,32.9,1,0
1682,Basic,16,17.1,1,1
1683,Basic,7,36.2,0,0
1684,Pro,11,27.0,1,0
1685,Enterprise,11,27.9,0,0
1686,Basic,12,32.7,1,0
1687,Basic,10,28.8,0,0
1688,Basic,11,42.2,5,1
1689,Pro,7,40.6,3,1
1690,Basic,19,12.8,0,0
1691,Basic,7,23.3,3,0
1692,Basic,11,33.4,0,0
1693,Basic,11,15.6,0,0
1694,Basic,11,9.3,1,0
1695,Basic,11,17.4,0,0
1696,Pro,18,23.8,1,0
1697,Basic,12,1.0,2,1
1698,Basic,8,13.9,3,0
1699,Basic,11,7.2,0,0
1700,Basic,11,36.5,0,1
1701,Basic,15,34.3,2,0
1702,Basic,7,27.8,1,0
1703,Basic,9,26.0,2,0
1704,Basic,2,30.4,1,0
1705,Basic,5,15.0,1,0
1706,Enterprise,7,37.5,0,0
1707,Basic,11,25.9,1,0
1708,Pro,8,34.2,2,0
1709,Basic,11,33.8,2,0
1710,Pro,10,30.3,0,0
1711,Pro,10,28.1,2,0
1712,Basic,16,27.4,1,1
1713,Basic,10,24.4,1,1
1714,Basic,11,29.8,1,1
1715,Basic,5,27.1,1,0
1716,Enterprise,11,20.1,1,0
1717,Pro,12,31.1,0,0
1718,Enterprise,9,27.8,0,0
1719,Basic,10,37.1,1,0
1720,Pro,12,6.9,2,0
1721,Enterprise,11,25.4,1,0
1722,Basic,11,17.8,3,0
1723,Basic,10,19.8,1,0
1724,Pro,14,30.6,1,1
1725,Basic,11,10.6,0,0
1726,Pro,16,26.3,2,0
1727,Basic,14,25.3,2,0
1728,Pro,6,14.5,0,0
1729,Basic,12,26.6,0,0
1730,Basic,9,17.4,0,1
1731,Basic,7,47.0,2,0
1732,Pro,11,37.0,1,0
1733,Pro,10,25.7,2,0
1734,Basic,7,20.7,0,0
1735,Basic,10,30.0,2,0
1736,Pro,13,32.7,2,1
1737,Basic,12,27.5,0,0
1738,Pro,18,14.8,0,1
1739,Basic,11,22.9,1,1
1740,Basic,5,25.8,1,0
1741,Basic,8,27.9,1,1
1742,Basic,11,28.1,1,0
1743,Pro,7,32.3,2,0
1744,Basic,6,38.4,3,0
1745,Basic,12,35.1,1,0
1746,Pro,6,30.9,2,1
1747,Basic,9,12.4,2,0
1748,Basic,11,36.9,0,0
1749,Enterprise,4,33.2,2,0
1750,Pro,9,22.4,2,0
1751,Basic,10,25.3,3,0
1752,Enterprise,9,25.7,1,0
1753,Pro,6,20.6,1,0
1754,Basic,10,7.5,0,0
1755,Basic,12,13.8,0,1
1756,Pro,10,15.9,1,0
1757,Pro,7,5.3,1,1
1758,Basic,10,13.9,0,0
1759,Pro,9,36.4,1,0
1760,Pro,10,29.9,1,0
1761,Basic,8,15.3,2,0
1762,Basic,8,18.1,1,0
1763,Basic,5,37.3,0,0
1764,Pro,12,37.0,1,0
1765,Basic,9,25.7,0,1
1766,Basic,9,36.7,0,0
1767,Pro,4,17.3,0,1
1768,Pro,7,27.3,2,1
1769,Basic,7,10.3,1,0
1770,Pro,11,21.4,1,0
1771,Basic,12,25.3,1,0
1772,Pro,9,8.1,1,1
1773,Basic,11,30.9,1,1
1774,Basic,8,32.6,1,0
1775,Pro,9,35.1,1,0
1776,Basic,11,48.3,3,0
1777,Basic,6,29.2,1,1
1778,Pro,7,24.4,1,0
1779,Pro,10,9.0,2,1
1780,Pro,7,28.9,1,0
1781,Pro,2,30.6,3,0
1782,Basic,12,11.4,1,1
1783,Basic,11,22.6,0,1
1784,Basic,9,25.1,3,0
1785,Basic,12,30.3,0,0
1786,Enterprise,7,33.6,1,0
1787,Basic,12,19.6,0,0
1788,Basic,14,27.0,1,0
1789,Basic,10,30.7,2,0
1790,Enterprise,13,23.2,0,0
1791,Basic,12,20.8,1,0
1792,Basic,5,32.1,3,0
1793,Basic,9,23.2,2,0
1794,Pro,4,13.0,2,1
1795,Basic,7,38.7,0,0
1796,Pro,8,14.1,1,0
1797,Enterprise,10,24.1,0,0
1798,Basic,8,28.2,2,0
1799,Pro,8,29.6,2,0
1800,Enterprise,13,26.7,2,0
1801,Pro,7,1.0,1,0
1802,Basic,7,18.0,0,1
1803,Basic,9,28.0,0,1
1804,Pro,10,23.9,2,0
1805,Basic,5,30.1,1,1
1806,Pro,11,35.2,0,1
1807,Enterprise,9,30.1,0,0
1808,Enterprise,6,17.7,0,0
